resource,usage,requiredFields,recommendedBindings,notes
"Patient","Core patient demographic and identifiers; required for linking clinical data.","identifier|name|gender|birthDate","identifier:Local MRN|gender:AdministrativeGender","Used by EHR, LIMS, and Pharmacy; ensure stable MRN mapping."
"Observation","Individual measurements (labs, vitals).","status|category|code|subject|effective[x]","code:LOINC|unit:UCUM","Use LOINC for lab tests; use components for panels."
"DiagnosticReport","Report that aggregates Observation results (lab panels).","status|code|subject|result","code:LOINC","Link to Specimen and Observations; include interpretation/conclusion."
"ServiceRequest","Orders for services including laboratory tests (lab requisition).","subject|code|authoredOn","code:LOINC","Record accession/requisition identifier on identifier or supportingIdentifier."
"Specimen","Specimen information (container, collection time, type).","identifier|type|subject","type:SNOMED","Capture accessionIdentifier/barcode in identifier or accessionIdentifier."
"MedicationRequest","Prescriptions/orders for medications (outpatient/inpatient).","medication[x]|subject|intent","medication:RxNorm|dosageInstruction:DosageDetails","One MedicationRequest per medication; map UI SIG to dosageInstruction.text."
"MedicationDispense","Record of supply/dispense of medication to a patient.","medication[x]|subject|whenHandedOver|quantity","medication:RxNorm","Link to MedicationRequest via basedOn or prescription."
"MedicationAdministration","Record of medication actually administered to the patient.","medication[x]|subject|status|effective[x]","medication:RxNorm","Used for inpatient or observed administrations (MAR)."
"Consent","Patient consent records (data-sharing, results release).","status|scope|patient","","Capture share preferences for lab results and messaging."
"Appointment","Scheduling and booking appointments.","status|start|participant","","Used by scheduling UI and booking flows."
"Encounter","Context for visits and encounters.","status|class|subject","","Link diagnostic reports, orders and administrations to encounters where applicable."
"Procedure","Procedure records (e.g., specimen collection procedures).","status|code|subject","","Capture performer and performedDateTime for audit."
"Organization","Organizations such as labs and pharmacies.","identifier|name","","Use when referencing dispensers, performing lab, or organizations."
